Variable Explanation:

senator- Name of Senator (first last)
party- 0= Republican, 1= Democrat, 2= Independent
sex- 1=Male, 0=Female
trade_date- Date of initial transaction
owner- Owner of the trade (Spouse, Child, or Self=Senator)
ticker- Stock Ticker
type- Purchase or Sale
trade_amount_max- Maximum amount the trade could have been
trade_amount_min- Minimum amount the trade could have been
buy_one_year_change- One year change in value of the stock purchased from the date of transaction
one_mo_vtsax_change- One month change in value of the VTSAX from the date of transaction
one_year_vtsax_change- One year change in value of the VTSAX from the date of transaction
buy_compare_one_year- Change in stock value minus change in VTSAX after one year from date of transaction
one_month_sell- One month change in value of the stock sold from the date of transaction
one_month_sell_compare- Change in stock value minus change in VTSAX after one month from date of transaction
weight- Weighted value of the average between the minimum and maximum amount the trade could have been

Data:

senator,party,sex,trade_date,owner,ticker,type,trade_amount_max,trade_amount_min,buy_one_year_change,one_mo_vtsax_change,one_year_vtsax_change,buy_compare_one_year,one_month_sell,one_month_sell_compare,weight
Susan Collins,0,0,08oct2020,Spouse,--,Purchase,50000,15000,,.019862133,,,,,4.0599999
Sheldon Whitehouse,1,1,30sep2020,Joint,TT,Sale,50000,15000,,-.019411623,,,.054350515,.073762138,4.0599999
Sheldon Whitehouse,1,1,30sep2020,Self,TT,Sale,50000,15000,,-.019411623,,,.054350515,.073762138,4.0599999
Angus King,,1,28sep2020,Spouse,--,Sale,50000,15000,,.021770682,,,,,4.0599999
David Perdue,0,1,25sep2020,Joint,--,Purchase,500000,250000,,.05904059,,,,,31.25
Thomas Carper,1,1,24sep2020,Spouse,LDP,Purchase,15000,1000,,.072536268,,,,,1
Ron Wyden,1,1,23sep2020,Child,NFLX,Sale,15000,1000,,.063662464,,,.039183188,-.024479276,1
Thomas Carper,1,1,22sep2020,Spouse,LDP,Purchase,15000,1000,,.041042504,,,,,1
Thomas Carper,1,1,22sep2020,Spouse,WIW,Purchase,15000,1000,,.041042504,,,,,1
Thomas Carper,1,1,22sep2020,Spouse,ATOAX,Purchase,50000,15000,,.041042504,,,,,4.0599999
Rick Scott,0,1,18sep2020,Spouse,--,Purchase,1000000,500000,,.050783623,,,,,31.25
Pat Roberts,0,1,17sep2020,Spouse,AAPL,Purchase,15000,1000,,.041400891,,,,,1
Pat Roberts,0,1,16sep2020,Spouse,,Purchase,50000,15000,,.033174224,,,,,4.0599999
Rick Scott,0,1,16sep2020,Self,--,Purchase,250000,100000,,.033174224,,,,,21.879999
Rick Scott,0,1,16sep2020,Spouse,--,Purchase,500000,250000,,.033174224,,,,,31.25
Rick Scott,0,1,16sep2020,Self,--,Purchase,250000,100000,,.033174224,,,,,21.879999
Rick Scott,0,1,16sep2020,Spouse,--,Purchase,1000000,500000,,.033174224,,,,,31.25
Rick Scott,0,1,16sep2020,Spouse,--,Purchase,1000000,500000,,.033174224,,,,,31.25
Rick Scott,0,1,16sep2020,Spouse,--,Purchase,500000,250000,,.033174224,,,,,31.25
Ron Wyden,1,1,14sep2020,Child,NFLX,Sale,15000,1000,,.047727273,,,.133435518,.085708246,1
Ron Wyden,1,1,14sep2020,Child,NFLX,Sale,15000,1000,,.047727273,,,.133435518,.085708246,1
Pat Roberts,0,1,14sep2020,Spouse,NVDA,Purchase,50000,15000,,.047727273,,,,,4.0599999
William Cassidy,0,1,11sep2020,Spouse,AAPL,Sale,15000,1000,,.048845687,,,.044375,-.004470687,1
Pat Roberts,0,1,11sep2020,Spouse,AAPL,Purchase,15000,1000,,.048845687,,,,,1
Sheldon Whitehouse,1,1,09sep2020,Joint,CB,Sale,50000,15000,,.014219142,,,-.025445917,-.039665059,4.0599999
Pat Roberts,0,1,09sep2020,Spouse,AAPL,Purchase,50000,15000,,.014219142,,,,,4.0599999
